date;id;code;elapsed
01/10/24;1;ABC1;00:00:01
01/10/24;2;ABC1;00:00:01
01/10/24;3;ABC1;00:00:01
01/10/24;4;ABC1;00:00:01
01/10/24;5;ABC1;00:00:01
01/10/24;6;ABC1;00:00:01
01/10/24;7;ABC1;00:00:01
01/10/24;8;ABC1;00:00:01
01/10/24;9;ABC1;00:00:01
01/10/24;10;ABC1;00:00:01
01/10/24;11;ABC1;00:00:01
01/10/24;12;ABC1;00:00:01
01/10/24;13;ABC1;00:00:01
01/10/24;14;ABC1;00:00:01
01/10/24;15;ABC1;00:00:01
01/10/24;16;ABC1;00:00:01
01/10/24;17;ABC1;00:00:01
01/10/24;18;ABC1;00:00:01
01/10/24;19;ABC1;00:00:01
01/10/24;20;ABC1;00:00:01
01/10/24;21;ABC1;00:00:01
01/10/24;22;ABC1;00:00:01
01/10/24;23;ABC1;00:00:01
01/10/24;24;ABC1;00:00:01
01/10/24;25;ABC1;00:00:01
30/10/23;26;BCA2;00:30:00
30/10/23;27;BCA2;00:30:00
30/10/23;28;BCA2;00:30:00
30/10/23;29;BCA2;00:30:00
30/10/23;30;BCA2;00:30:00
30/10/23;31;BCA2;00:30:00
30/10/23;32;BCA2;00:30:00
30/10/23;33;BCA2;00:30:00
30/10/23;34;BCA2;00:30:00
30/10/23;35;BCA2;00:30:00
30/10/23;36;BCA2;00:30:00
30/10/23;37;BCA2;00:30:00
30/10/23;38;BCA2;00:30:00
30/10/23;39;BCA2;00:30:00
30/10/23;40;BCA2;00:30:00
30/10/23;41;BCA2;00:30:00
30/10/23;42;BCA2;00:30:00
30/10/23;43;BCA2;00:30:00
30/10/23;44;BCA2;00:30:00
30/10/23;45;BCA2;00:30:00
30/10/23;46;BCA2;00:30:00
30/10/23;47;BCA2;00:30:00
30/10/23;48;BCA2;00:30:00
30/10/23;49;BCA2;00:30:00
30/10/23;50;BCA2;00:30:00
30/10/23;51;BCA2;00:30:00
30/10/23;52;BCA2;00:30:00
30/10/23;53;BCA2;00:30:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
18/02/24;;XYZW;01:00:00
